platform,original_link,post_time,title,view_count,like_count,price,images,description,category,status,seller_location,expiration_date,market_price,capacity,parking,options,check_in_out_time,shipping_fee,transaction_location,transaction_method
번개장터,https://bunjang.co.kr/products/290308515,2024-09-21 16:38:37,대천 데이원스테이호텔(오늘) 숙박,38,0,90000,https://media.bunjang.co.kr/product/290308515_{cnt}_1726881877_w{res}.jpg,오늘 당일 대천 데이원스테이호텔 1박 2일 숙박 양도해요,여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/290337573,2024-09-21 16:38:37,제네시스 프리빌리지 판매합니다,29,1,360000,https://media.bunjang.co.kr/product/290337573_{cnt}_1726894617_w{res}.jpg,"g80 프리빌리지 판매 합니다

https://www.genesis.com/kr/ko/members/genesis-membership/privilege/gv80.html?anchorID=privilege_tab_01

호텔 종류 및 자세한 내용은 홈페이지 확인 가능

당근, 카페 등 현 시세에 맞춰올린 금액 입니다

연락처 및 신분 확인 후 선입 해주셔야 합니다.",여행/숙박/렌트,판매완료,성산구 반송동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/244707856,2024-09-30 16:38:37,새상품 모텔 호텔 카드,26,1,20000,https://media.bunjang.co.kr/product/244707856_{cnt}_1701331112_w{res}.jpg,"새상품

모텔 호텔 카드
물려잇으면 모텔이나 호텔방
전원나가지 않아 전기공급이뤄지는
카드. , 가격 2만원

네고 ,교환 문의 안받습니다",여행/숙박/렌트,판매중,도봉구 창제5동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/269399715,2024-10-04 16:38:37,워커힐호텔 바우처 10장,35,0,950000,https://media.bunjang.co.kr/product/269399715_{cnt}_1717498612_w{res}.jpg,"워커힐 호텔 10만원 권 바우처 10장 팝니다. 
수도권 직거래 입니다. 
유효기간은 바우처에 쓰여 있다시피  2024년 12월 31일 까지 입니다.
일괄 입니다.",여행/숙박/렌트,판매완료,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/292027926,2024-10-02 16:38:37,신촌 홍대 합정 호텔 서강스테이 10월1일~10월3일 숙박 양도,42,0,100000,https://media.bunjang.co.kr/product/292027926_{cnt}_1727785712_w{res}.jpg,"2박 3일 10에 양도합니다ㅠㅠ
빨간날 껴있어서 이것보다 저렴한 곳 없어요",여행/숙박/렌트,판매중,관악구 신림동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/281527013,2024-10-04 14:38:37,한화 호텔앤리조트 상품권 7만원권 9장(개별구매 가능),117,4,65000,https://media.bunjang.co.kr/product/281527013_{cnt}_1725074403_w{res}.jpg,"[한화 호텔앤리조트 상품권] 7만원권 9장
- 발행일: 2024년 7월 25일
- 유효기간: 발행일로부터 5년
- 정가: 장당 70,000

- 개별구매 장당: 65,000 판매(최소단위 5장)

유효기간 5년이라엄청 여유있어요!!
저희 가족은 사용할 일이 많이 없어 판매해요

가격네고 문의는 받지 않을게요
직거래: 하안주공 4단지
택배거래: 선입금해주시면 보내드려요(택배비별도)",여행/숙박/렌트,판매중,광명시 하안4동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/292444058,2024-10-04 14:38:37,(호텔양도) Ac 호텔 강남 크리스마스 12.24~25,4,0,300000,https://media.bunjang.co.kr/product/292444058_{cnt}_1728019050_w{res}.jpg,"예약일 - 24.12.24~25
금액 - 30만원
혜택 - 가능하다면 (14시 레이트체크아웃 + 여부에따라 방 업그레이드)
직접 체크인후 키 전달하는 방식입니다.
현재 최저가 - 아고다~공홈 36만원 (세금포함)
날짜 임박해오면 더 비싸니까~ 언넝 예약하세요!",여행/숙박/렌트,판매중,은평구 녹번동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/244416483,2024-10-04 12:38:37,워커힐 호텔 10만원 상품권 팝니다 (장당 9.5만 / 20장),401,10,95000,https://media.bunjang.co.kr/product/244416483_{cnt}_1726322842_w{res}.jpg,"워커힐 호텔 10만원 상품권 팝니다 (장당 9.5만 / 20장)

2025.2.31 까지 사용 가능 이구요.

직거래는 명일역(5호선), 선사역(8호선)에서 가능합니다.

문의 언제 든 가능 하니 번톡 연락 주세요

감사합니다",기타(상품권),판매중,광진구 구의제3동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/278562046,2024-10-04 16:38:37,워커힐 크레딧 상품권 100만원 (직거래만 가능),21,0,940000,https://media.bunjang.co.kr/product/278562046_{cnt}_1722570695_w{res}.jpg,"사용기한 25년 6월입니다. 
사용처 및 세부정보는 사진에 기재되어 있습니다. 
** 상품권 특성 상 직거래+계좌송금만 가능합니다. **

에누리 문의, 택배거래 문의 주지 마세요. 
구매의사 없는 채팅 사양합니다.",여행/숙박/렌트,판매완료,영등포구 문래동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/208877607,2024-10-04 16:38:37,[숙소] 스타즈 호텔 독산 (12/25~12/26) 스탠다드 트윈,134,3,120000,https://media.bunjang.co.kr/product/208877607_{cnt}_1671785566_w{res}.jpg,"스타즈 호텔 독산 스탠다드 트윈 크리스마스 12/25~12/26

12월25일~12월26일 크리스마스

입실 15:00
퇴실 12:00

바로 계좌 문의시 110,000

양도합니다 연락주세요",여행/숙박/렌트,판매완료,시흥시 목감동,,,,,,,,,
